Date,Year,Month,Day,Price,Return(1),Return(10)
1997/6/20,1997,6,20,11.42,-0.003490401,0.002633889
1997/6/21,1997,6,21,11.38,-0.003502627,-0.003502627
1997/6/23,1997,6,23,11.37,-0.000878735,-0.001755926
1997/6/24,1997,6,24,11.38,0.000879507,-0.004374453
1997/6/25,1997,6,25,11.4,0.001757469,0.002638522
1997/6/26,1997,6,26,11.46,0.005263158,0.007915567
1997/6/27,1997,6,27,11.56,0.008726003,0.016710642
1997/6/28,1997,6,28,11.59,0.002595156,0.016666667
1997/6/30,1997,6,30,11.59,0,0.016666667
1997/7/2,1997,7,2,11.67,0.006902502,0.018324607
1997/7/3,1997,7,3,11.67,0,0.021891419
1997/7/4,1997,7,4,11.95,0.023993145,0.050087873
1997/7/5,1997,7,5,12.09,0.011715481,0.063324538
1997/7/7,1997,7,7,12.1,0.00082713,0.063268893
1997/7/8,1997,7,8,11.96,-0.011570248,0.049122807
1997/7/9,1997,7,9,11.82,-0.011705686,0.031413613
1997/7/10,1997,7,10,11.94,0.010152284,0.032871972
1997/7/11,1997,7,11,12.14,0.016750419,0.047454702
1997/7/12,1997,7,12,11.98,-0.013179572,0.033649698
1997/7/14,1997,7,14,11.98,0,0.026563839
1997/7/15,1997,7,15,11.84,-0.011686144,0.014567266
1997/7/16,1997,7,16,11.96,0.010135135,0.00083682
1997/7/17,1997,7,17,12.23,0.022575251,0.011579818
1997/7/18,1997,7,18,12.11,-0.009811938,0.000826446
1997/7/19,1997,7,19,11.84,-0.022295623,-0.010033445
1997/7/21,1997,7,21,11.83,-0.000844595,0.000846024
1997/7/22,1997,7,22,11.81,-0.001690617,-0.010887772
1997/7/23,1997,7,23,11.76,-0.0042337,-0.031301483
1997/7/24,1997,7,24,11.36,-0.034013605,-0.051752922
1997/7/25,1997,7,25,11.38,0.001760563,-0.050083472
1997/7/26,1997,7,26,11.51,0.01142355,-0.027871622
1997/7/28,1997,7,28,11.54,0.002606429,-0.035117057
1997/7/29,1997,7,29,12.05,0.044194107,-0.014717907
1997/7/30,1997,7,30,12.39,0.028215768,0.023121387
1997/7/31,1997,7,31,12.39,0,0.046452703
1997/8/1,1997,8,1,12.12,-0.021791768,0.024513948
1997/8/2,1997,8,2,11.97,-0.012376238,0.013547841
1997/8/4,1997,8,4,11.95,-0.001670844,0.016156463
1997/8/5,1997,8,5,12.04,0.007531381,0.059859155
1997/8/6,1997,8,6,11.89,-0.012458472,0.044815466
1997/8/7,1997,8,7,11.69,-0.016820858,0.015638575
1997/8/8,1997,8,8,11.67,-0.001710864,0.011265165
1997/8/9,1997,8,9,11.83,0.013710368,-0.018257261
1997/8/11,1997,8,11,11.86,0.002535926,-0.042776433
1997/8/12,1997,8,12,11.78,-0.006745363,-0.049233253
1997/8/13,1997,8,13,11.78,0,-0.028052805
1997/8/14,1997,8,14,11.71,-0.005942275,-0.021720969
1997/8/15,1997,8,15,11.63,-0.006831768,-0.026778243
1997/8/16,1997,8,16,11.55,-0.006878762,-0.040697674
1997/8/19,1997,8,19,11.26,-0.025108225,-0.052985702
1997/8/20,1997,8,20,10.89,-0.03285968,-0.068434559
1997/8/21,1997,8,21,10.82,-0.006427916,-0.072836332
1997/8/22,1997,8,22,10.78,-0.003696858,-0.088757396
1997/8/23,1997,8,23,10.46,-0.029684601,-0.118043845
1997/8/25,1997,8,25,10.46,0,-0.112054329
1997/8/26,1997,8,26,10.29,-0.01625239,-0.126485569
1997/8/27,1997,8,27,10.37,0.007774538,-0.114432109
1997/8/28,1997,8,28,10.34,-0.00289296,-0.110920034
1997/8/30,1997,8,30,10.05,-0.028046422,-0.12987013
1997/9/1,1997,9,1,10.05,0,-0.107460036
1997/9/2,1997,9,2,10.01,-0.0039801,-0.080808081
1997/9/3,1997,9,3,10.08,0.006993007,-0.068391867
1997/9/4,1997,9,4,10.04,-0.003968254,-0.06864564
1997/9/5,1997,9,5,9.93,-0.010956175,-0.050669216
1997/9/6,1997,9,6,10.1,0.017119839,-0.034416826
1997/9/8,1997,9,8,10.1,0,-0.018464529
1997/9/9,1997,9,9,10.3,0.01980198,-0.006750241
1997/9/10,1997,9,10,10.29,-0.000970874,-0.00483559
1997/9/11,1997,9,11,10.15,-0.013605442,0.009950249
1997/9/12,1997,9,12,10.15,0,0.009950249
1997/9/13,1997,9,13,10.09,-0.00591133,0.007992008
1997/9/15,1997,9,15,10.09,0,0.000992063
1997/9/17,1997,9,17,10.04,-0.004955401,0
1997/9/18,1997,9,18,10.03,-0.000996016,0.010070493
1997/9/19,1997,9,19,10.04,0.000997009,-0.005940594
1997/9/20,1997,9,20,10.07,0.002988048,-0.002970297
1997/9/22,1997,9,22,10.08,0.000993049,-0.021359223
1997/9/23,1997,9,23,10.14,0.005952381,-0.014577259
1997/9/24,1997,9,24,10.17,0.00295858,0.001970443
1997/9/25,1997,9,25,10.18,0.000983284,0.002955665
1997/9/26,1997,9,26,10.27,0.008840864,0.017839445
1997/9/27,1997,9,27,10.26,-0.00097371,0.016848365
1997/9/30,1997,9,30,10.31,0.004873294,0.02689243
1997/10/1,1997,10,1,10.27,-0.003879728,0.023928215
1997/10/2,1997,10,2,10.28,0.00097371,0.023904382
1997/10/3,1997,10,3,10.36,0.007782101,0.028798411
1997/10/4,1997,10,4,10.48,0.011583012,0.03968254
1997/10/6,1997,10,6,10.49,0.000954198,0.034516765
1997/10/7,1997,10,7,10.48,-0.000953289,0.030481809
1997/10/8,1997,10,8,10.52,0.003816794,0.033398821
1997/10/9,1997,10,9,10.56,0.003802281,0.028237585
1997/10/13,1997,10,13,10.51,-0.004734848,0.024366472
1997/10/14,1997,10,14,10.56,0.004757374,0.024248303
1997/10/15,1997,10,15,10.49,-0.006628788,0.021421616
1997/10/16,1997,10,16,10.46,-0.002859867,0.017509728
1997/10/17,1997,10,17,10.69,0.021988528,0.031853282
1997/10/18,1997,10,18,10.7,0.000935454,0.020992366
1997/10/20,1997,10,20,10.92,0.020560748,0.04099142
1997/10/21,1997,10,21,10.89,-0.002747253,0.039122137
1997/10/22,1997,10,22,10.78,-0.01010101,0.024714829
1997/10/23,1997,10,23,10.76,-0.001855288,0.018939394
1997/10/24,1997,10,24,10.58,-0.016728625,0.006660324
1997/10/27,1997,10,27,10.49,-0.008506616,-0.006628788
1997/10/28,1997,10,28,10.04,-0.042897998,-0.042897998
1997/10/29,1997,10,29,10.21,0.016932271,-0.023900574
1997/10/30,1997,10,30,10.41,0.019588639,-0.026192703
1997/11/3,1997,11,3,10.49,0.007684918,-0.019626168
1997/11/4,1997,11,4,10.53,0.003813155,-0.035714286
1997/11/5,1997,11,5,10.5,-0.002849003,-0.035812672
1997/11/6,1997,11,6,10.63,0.012380952,-0.013914657
1997/11/7,1997,11,7,10.64,0.000940734,-0.011152416
1997/11/8,1997,11,8,10.47,-0.015977444,-0.010396975
1997/11/10,1997,11,10,10.45,-0.00191022,-0.003813155
1997/11/11,1997,11,11,10.39,-0.005741627,0.034860558
1997/11/13,1997,11,13,10.23,-0.015399423,0.001958864
1997/11/14,1997,11,14,10.35,0.011730205,-0.005763689
1997/11/15,1997,11,15,10.44,0.008695652,-0.004766444
1997/11/17,1997,11,17,10.48,0.003831418,-0.004748338
1997/11/18,1997,11,18,10.8,0.030534351,0.028571429
1997/11/19,1997,11,19,11.09,0.026851852,0.043273754
1997/11/20,1997,11,20,11,-0.008115419,0.033834586
1997/11/21,1997,11,21,11.04,0.003636364,0.054441261
1997/11/22,1997,11,22,10.95,-0.008152174,0.04784689
1997/11/24,1997,11,24,11.02,0.006392694,0.060635226
1997/11/25,1997,11,25,10.88,-0.012704174,0.063538612
1997/11/26,1997,11,26,10.75,-0.011948529,0.038647343
1997/11/27,1997,11,27,10.69,-0.005581395,0.02394636
1997/11/28,1997,11,28,10.8,0.010289991,0.030534351
1997/11/29,1997,11,29,10.74,-0.005555556,-0.005555556
1997/12/1,1997,12,1,10.76,0.001862197,-0.029756537
1997/12/2,1997,12,2,10.89,0.012081784,-0.01
1997/12/3,1997,12,3,10.89,0,-0.013586957
1997/12/4,1997,12,4,10.72,-0.015610652,-0.021004566
1997/12/5,1997,12,5,10.69,-0.002798507,-0.029945554
1997/12/6,1997,12,6,10.79,0.009354537,-0.008272059
1997/12/8,1997,12,8,10.83,0.003707136,0.00744186
1997/12/9,1997,12,9,10.89,0.005540166,0.018709074
1997/12/10,1997,12,10,10.85,-0.003673095,0.00462963
1997/12/11,1997,12,11,10.82,-0.002764977,0.00744879
1997/12/12,1997,12,12,10.84,0.001848429,0.007434944
1997/12/13,1997,12,13,10.8,-0.003690037,-0.008264463
1997/12/15,1997,12,15,10.87,0.006481481,-0.001836547
1997/12/16,1997,12,16,10.82,-0.004599816,0.009328358
1997/12/17,1997,12,17,10.83,0.000924214,0.013096352
1997/12/18,1997,12,18,10.81,-0.001846722,0.001853568
1997/12/19,1997,12,19,10.8,-0.000925069,-0.002770083
1997/12/20,1997,12,20,10.69,-0.010185185,-0.018365473
1997/12/22,1997,12,22,10.76,0.006548176,-0.008294931
1997/12/23,1997,12,23,10.53,-0.021375465,-0.026802218
1997/12/24,1997,12,24,10.47,-0.005698006,-0.034132841
1997/12/26,1997,12,26,10.59,0.011461318,-0.019444444
1997/12/27,1997,12,27,10.55,-0.003777148,-0.029438822
1997/12/29,1997,12,29,10.56,0.000947867,-0.024029575
1997/12/30,1997,12,30,10.65,0.008522727,-0.016620499
1997/12/31,1997,12,31,10.78,0.012206573,-0.002775208
1998/1/3,1998,1,3,10.94,0.014842301,0.012962963
1998/1/5,1998,1,5,11.08,0.012797075,0.036482694
1998/1/6,1998,1,6,11.32,0.02166065,0.05204461
1998/1/7,1998,1,7,11.38,0.005300353,0.080721747
1998/1/8,1998,1,8,11.28,-0.008787346,0.077363897
1998/1/9,1998,1,9,11.14,-0.012411348,0.051935788
1998/1/12,1998,1,12,11.1,-0.003590664,0.052132701
1998/1/13,1998,1,13,10.95,-0.013513514,0.036931818
1998/1/14,1998,1,14,11.08,0.011872146,0.040375587
1998/1/15,1998,1,15,11.24,0.014440433,0.042671614
1998/1/16,1998,1,16,11.17,-0.006227758,0.021023766
1998/1/17,1998,1,17,11.33,0.014324082,0.022563177
1998/1/19,1998,1,19,11.26,-0.006178288,-0.005300353
1998/1/20,1998,1,20,11.35,0.007992895,-0.002636204
1998/1/21,1998,1,21,11.41,0.005286344,0.011524823
1998/1/22,1998,1,22,11.54,0.011393514,0.035906643
1998/1/23,1998,1,23,11.59,0.004332756,0.044144144
1998/1/26,1998,1,26,11.59,0,0.058447489
1998/2/2,1998,2,2,11.54,-0.004314064,0.041516245
1998/2/3,1998,2,3,11.67,0.011265165,0.038256228
1998/2/4,1998,2,4,11.68,0.000856898,0.045658013
1998/2/5,1998,2,5,11.7,0.001712329,0.032656664
1998/2/6,1998,2,6,11.71,0.000854701,0.039964476
1998/2/7,1998,2,7,11.58,-0.011101623,0.020264317
1998/2/9,1998,2,9,11.75,0.014680484,0.029798422
1998/2/10,1998,2,10,11.67,-0.006808511,0.011265165
1998/2/11,1998,2,11,11.65,-0.001713796,0.005176877
1998/2/12,1998,2,12,11.84,0.016309013,0.021570319
1998/2/13,1998,2,13,11.03,-0.068412162,-0.044194107
1998/2/16,1998,2,16,11.08,0.004533092,-0.050556984
1998/2/17,1998,2,17,11.03,-0.004512635,-0.055650685
1998/2/18,1998,2,18,11.1,0.006346328,-0.051282051
1998/2/19,1998,2,19,11.09,-0.000900901,-0.0529462
1998/2/20,1998,2,20,11.15,0.00541028,-0.037132988
