Date,Price,1d Price_C,5d Price_C,10d Price_C,T10Y2Y,T10Y2Y_C,S&P500 Close,1d S&P500 Close_C,5d S&P500 Close_C,10d S&P500 Close_C,University of Michigan Consumer,M2,Average Weekly Hours of Production,Building Permits,Manufacturers' New Orders Durable Goods,Real personal income excluding current transfer receipts,"All Employees, Total Nonfarm",Industrial Production Index,Inventories to Sales Ratios,Label
2001/6/22,10.17,0.006930693,0.00295858,-0.028653295,1.21,-0.02,1225.349976,-0.009450028,0.009050027,-0.031313232,92.6,4521.1,41.6,1626,171850,9838.3,132299,93.4469,1.44,Extremely High Point
2001/6/26,10.07,-0.009832842,-0.001982161,-0.033589251,1.21,0,1216.76001,-0.007010214,0.006893205,-0.029998648,92.6,4521.1,41.2,1626,171850,9838.3,132299,93.4469,1.44,High Point
2001/6/27,10.02,-0.004965243,-0.001992032,-0.030009681,1.2,-0.01,1211.069946,-0.004676406,-0.001245287,-0.035657149,92.6,4521.1,41.2,1626,171850,9838.3,132299,93.4469,1.44,High Point
2001/6/28,9.94,-0.007984032,-0.013888889,-0.034013605,1.13,-0.07,1226.199951,0.012493089,0.002501705,-0.012403371,92.6,4521.1,41.2,1626,171850,9838.3,132299,93.4469,1.44,High Point
2001/6/29,10.03,0.009054326,-0.006930693,-0.022417154,1.17,0.04,1224.380005,-0.001484216,-0.010234134,0.003697123,92.6,4521.1,41.2,1626,171850,9838.3,132299,93.4469,1.44,Little High Point
2001/7/2,10,-0.002991027,-0.016715831,-0.013806706,1.16,-0.01,1236.719971,0.010078543,0.009278978,0.01841298,92.4,4521.1,41.2,1598,177749,9801.1,132177,92.876,1.43,Little High Point
2001/7/3,10.12,0.012,0.004965243,0.002973241,1.17,0.01,1234.449951,-0.001835517,0.014538562,0.021531984,92.4,4521.1,41.2,1598,177749,9801.1,132177,92.876,1.43,High Point
2001/7/4,10.1,-0.001976285,0.007984032,0.005976096,1.17,0,1234.449951,0,0.019305247,0.01803592,92.4,4521.1,41.2,1598,177749,9801.1,132177,92.876,1.43,High Point
2001/7/5,10.05,-0.004950495,0.011066398,-0.00297619,1.2,0.03,1219.23999,-0.012321246,-0.005676041,-0.003188535,92.4,4521.1,41.2,1598,177749,9801.1,132177,92.876,1.43,High Point
2001/7/6,9.91,-0.013930348,-0.011964108,-0.018811881,1.25,0.05,1190.589966,-0.023498265,-0.027597673,-0.037549369,92.4,4521.1,41.2,1598,177749,9801.1,132177,92.876,1.43,Little High Point
2001/7/9,9.69,-0.022199798,-0.031,-0.04719764,1.22,-0.03,1198.780029,0.006878995,-0.030677876,-0.021683558,92.4,4521.1,41.2,1598,177749,9801.1,132177,92.876,1.43,Little Low Point
2001/7/10,9.79,0.010319917,-0.032608696,-0.027805362,1.24,0.02,1181.52002,-0.014397978,-0.042877341,-0.028962153,92.4,4521.1,41.2,1598,177749,9801.1,132177,92.876,1.43,Little High Point
2001/7/11,9.79,0,-0.030693069,-0.022954092,1.24,0,1180.180054,-0.001134104,-0.043962817,-0.025506282,92.4,4521.1,41.2,1598,177749,9801.1,132177,92.876,1.43,High Point
2001/7/12,9.7,-0.009193054,-0.034825871,-0.024144869,1.2,-0.04,1208.140015,0.023691267,-0.009104012,-0.014728378,92.4,4521.1,41.2,1598,177749,9801.1,132177,92.876,1.43,Little High Point
2001/7/13,9.86,0.016494845,-0.005045409,-0.016949153,1.15,-0.05,1215.680054,0.006241031,0.02107366,-0.007105597,92.4,4521.1,41.2,1598,177749,9801.1,132177,92.876,1.43,High Point
2001/7/16,9.91,0.005070994,0.022703818,-0.009,1.14,-0.01,1202.449951,-0.010882882,0.003061381,-0.027710412,92.4,4521.1,41.2,1598,177749,9801.1,132177,92.876,1.43,High Point
2001/7/17,9.82,-0.009081736,0.003064351,-0.029644269,1.13,-0.01,1214.439941,0.009971301,0.027862347,-0.016209657,92.4,4521.1,41.2,1598,177749,9801.1,132177,92.876,1.43,Little High Point
2001/7/18,9.82,0,0.003064351,-0.027722772,1.16,0.03,1207.709961,-0.005541633,0.02332687,-0.021661461,92.4,4521.1,41.2,1598,177749,9801.1,132177,92.876,1.43,Little Low Point
2001/7/19,9.73,-0.009164969,0.003092784,-0.031840796,1.15,-0.01,1215.02002,0.006052827,0.005694708,-0.003461148,92.4,4521.1,41.2,1598,177749,9801.1,132177,92.876,1.43,Low Point
2001/7/20,9.83,0.010277492,-0.003042596,-0.008072654,1.17,0.02,1210.849976,-0.003432078,-0.003973149,0.017016782,92.4,4521.1,41.2,1598,177749,9801.1,132177,92.876,1.43,Little High Point
2001/7/23,9.8,-0.003051882,-0.011099899,0.011351909,1.15,-0.02,1191.030029,-0.016368623,-0.009497212,-0.006464906,92.4,4539.68,41.2,1598,177749,9801.1,132177,92.876,1.43,Little High Point
2001/7/24,9.7,-0.010204082,-0.012219959,-0.009193054,1.16,0.01,1171.650024,-0.016271634,-0.03523428,-0.008353643,92.4,4539.68,41.2,1598,177749,9801.1,132177,92.876,1.43,Little Low Point
2001/7/25,9.59,-0.011340206,-0.023421589,-0.020429009,1.22,0.06,1190.48999,0.016079858,-0.014258366,0.008735901,92.4,4539.68,41.2,1598,177749,9801.1,132177,92.876,1.43,Little Low Point
2001/7/26,9.63,0.004171011,-0.010277492,-0.007216495,1.25,0.03,1202.930054,0.010449533,-0.009950425,-0.004312382,92.4,4539.68,41.3,1598,177749,9801.1,132177,92.876,1.43,Little High Point
2001/7/27,9.7,0.007268951,-0.013224822,-0.016227181,1.26,0.01,1205.819946,0.002402377,-0.004154131,-0.008110776,92.4,4539.68,41.3,1598,177749,9801.1,132177,92.876,1.43,Little High Point
2001/7/31,9.74,0.004123711,-0.006122449,-0.01715439,1.28,0.02,1211.22998,0.004486602,0.016960069,0.007301783,92.4,4539.68,41.3,1598,176350,9784.6,132177,92.3208,1.43,High Point
2001/8/1,9.83,0.009240246,0.013402062,0.00101833,1.28,0,1215.930054,0.003880414,0.037792881,0.001226996,91.5,4539.68,41.3,1615,176350,9784.6,132028,92.3208,1.42,High Point
2001/8/2,9.89,0.006103764,0.031282586,0.00712831,1.28,0,1220.75,0.003963999,0.025418114,0.010797327,91.5,4539.68,41.3,1615,176350,9784.6,132028,92.3208,1.42,High Point
2001/8/3,9.94,0.005055612,0.03219107,0.021582734,1.29,0.01,1214.349976,-0.005242698,0.009493421,-0.000551467,91.5,4539.68,41.3,1615,176350,9784.6,132028,92.3208,1.42,High Point
2001/8/6,9.85,-0.009054326,0.015463918,0.002034588,1.31,0.02,1200.47998,-0.011421745,-0.004428494,-0.008564229,91.5,4539.68,41.3,1615,176350,9784.6,132028,92.3208,1.42,Extremely High Point
2001/8/7,9.81,-0.004060914,0.007186858,0.001020408,1.3,-0.01,1204.400024,0.003265397,-0.00563886,0.011225573,91.5,4539.68,41.3,1615,176350,9784.6,132028,92.3208,1.42,High Point
2001/8/8,9.81,0,-0.002034588,0.011340206,1.22,-0.08,1183.530029,-0.017328126,-0.02664629,0.010139551,91.5,4539.68,41.3,1615,176350,9784.6,132028,92.3208,1.42,Extremely High Point
2001/8/9,9.66,-0.01529052,-0.023255814,0.00729927,1.27,0.05,1183.430054,-8.45E-05,-0.030571326,-0.005930277,91.5,4539.68,41.3,1615,176350,9784.6,132028,92.3208,1.42,High Point
2001/8/10,9.58,-0.008281573,-0.036217304,-0.005192108,1.26,-0.01,1190.160034,0.005686842,-0.019920075,-0.010615763,91.5,4539.68,41.3,1615,176350,9784.6,132028,92.3208,1.42,High Point
2001/8/13,9.59,0.001043841,-0.026395939,-0.011340206,1.27,0.01,1191.290039,0.000949456,-0.007655222,-0.012049815,91.5,4539.68,41.3,1615,176350,9784.6,132028,92.3208,1.42,Little High Point
