,Date,Adj Close,Δ% next 10d,Current Status,Investing State
1807,28/10/2003,7.67,-0.005215124,high,0
1808,29/10/2003,7.68,0.00390625,low,0
1809,30/10/2003,7.67,0.009126467,low,0
1810,31/10/2003,7.68,0.0078125,low,0
1811,3/11/2003,7.74,-0.011627907,high,0
1812,4/11/2003,7.7,-0.009090909,high,0
1813,5/11/2003,7.68,-0.00390625,high,0
1814,6/11/2003,7.68,-0.0078125,high,0
1815,7/11/2003,7.67,-0.006518905,high,0
1816,10/11/2003,7.65,0.013071895,low,0
1817,11/11/2003,7.63,0.015727392,low,0
1818,12/11/2003,7.71,0.010376135,low,0
1819,13/11/2003,7.74,0.012919897,low,0
1820,14/11/2003,7.74,0.010335917,low,0
1821,17/11/2003,7.65,0.037908497,bit low,0
1822,18/11/2003,7.63,0.036697248,bit low,0
1823,19/11/2003,7.65,0.036601307,bit low,0
1824,20/11/2003,7.62,0.040682415,bit low,0
1825,21/11/2003,7.62,0.034120735,bit low,0
1826,24/11/2003,7.75,0.016774194,low,0
1827,25/11/2003,7.75,0.015483871,low,0
1828,26/11/2003,7.79,0.006418485,low,0
1829,27/11/2003,7.84,0.007653061,low,0
1830,28/11/2003,7.82,0.014066496,low,0
1831,1/12/2003,7.94,-0.003778338,high,0
1832,2/12/2003,7.91,0.003792668,low,0
1833,3/12/2003,7.93,0.0,none,0
1834,4/12/2003,7.93,0.011349306,low,0
1835,5/12/2003,7.88,0.019035533,low,0
1836,8/12/2003,7.88,0.020304569,low,0
1837,9/12/2003,7.87,0.024142313,low,0
1838,10/12/2003,7.84,0.028061224,bit low,0
1839,11/12/2003,7.9,0.018987342,low,0
1840,12/12/2003,7.93,0.018915511,low,0
1841,15/12/2003,7.91,0.029077118,bit low,0
1842,16/12/2003,7.94,0.028967254,bit low,0
1843,17/12/2003,7.93,0.032786885,bit low,0
1844,18/12/2003,8.02,0.023690773,low,0
1845,19/12/2003,8.03,0.03362391,bit low,0
1846,22/12/2003,8.04,0.032338308,bit low,0
1847,23/12/2003,8.06,0.029776675,bit low,0
1848,24/12/2003,8.06,0.032258065,bit low,0
1849,25/12/2003,8.05,0.032298137,bit low,0
1850,26/12/2003,8.08,0.028465347,bit low,0
1851,29/12/2003,8.14,0.015970516,low,0
1852,30/12/2003,8.17,0.018359853,low,0
1853,31/12/2003,8.19,0.012210012,low,0
1854,2/1/2004,8.21,0.014616322,low,0
1855,5/1/2004,8.3,0.001204819,low,0
1856,6/1/2004,8.3,-0.002409639,high,0
1857,7/1/2004,8.3,-0.001204819,high,0
1858,8/1/2004,8.32,-0.010817308,high,0
1859,9/1/2004,8.31,-0.013237064,high,0
1860,12/1/2004,8.31,-0.018050542,high,0
1861,13/1/2004,8.27,-0.010882709,high,0
1862,14/1/2004,8.32,-0.020432692,high,0
1863,15/1/2004,8.29,-0.019300362,high,0
1864,16/1/2004,8.33,-0.025210084,high,0
1865,19/1/2004,8.31,-0.013237064,high,0
1866,20/1/2004,8.28,-0.004830918,high,0
1867,27/1/2004,8.29,-0.003618818,high,0
1868,28/1/2004,8.23,0.007290401,low,0
1869,29/1/2004,8.2,0.009756098,low,0
1870,30/1/2004,8.16,0.012254902,low,0
1871,2/2/2004,8.18,0.007334963,low,0
1872,3/2/2004,8.15,0.02208589,low,0
1873,4/2/2004,8.13,0.024600246,bit low,0
1874,5/2/2004,8.12,0.027093596,bit low,0
1875,6/2/2004,8.2,0.015853659,low,0
1876,9/2/2004,8.24,0.004854369,low,0
1877,10/2/2004,8.26,-0.003631961,high,0
1878,11/2/2004,8.29,-0.001206273,high,0
1879,12/2/2004,8.28,-0.002415459,high,0
1880,13/2/2004,8.26,-0.001210654,high,0
1881,16/2/2004,8.24,0.009708738,low,0
1882,17/2/2004,8.33,-0.00120048,high,0
1883,18/2/2004,8.33,-0.008403361,high,0
1884,19/2/2004,8.34,-0.005995204,high,0
1885,20/2/2004,8.33,-0.00240096,high,0
1886,23/2/2004,8.28,0.006038647,low,0
1887,24/2/2004,8.23,0.004860267,low,0
1888,25/2/2004,8.28,-0.010869565,high,0
1889,26/2/2004,8.26,-0.030266344,bit high,0
1890,27/2/2004,8.25,-0.019393939,high,0
1891,1/3/2004,8.32,-0.040865385,bit high,0
1892,2/3/2004,8.32,-0.039663462,bit high,0
1893,3/3/2004,8.26,-0.021791768,high,0
