Date,Price,%change,Label
1997/10/30,10.41,-0.58,Little High Point
1997/11/03,10.49,-0.48,Little High Point
1997/11/04,10.53,-0.47,Little High Point
1997/11/05,10.5,2.86,Low Point
1997/11/06,10.63,4.33,Low Point
1997/11/07,10.64,3.38,Low Point
1997/11/08,10.47,5.44,Extremely Low Point
1997/11/10,10.45,4.78,Extremely Low Point
1997/11/11,10.39,6.06,Extremely Low Point
1997/11/13,10.23,6.35,Extremely Low Point
1997/11/14,10.35,3.86,Low Point
1997/11/15,10.44,2.39,Low Point
1997/11/17,10.48,3.05,Low Point
1997/11/18,10.8,-0.56,Little High Point
1997/11/19,11.09,-2.98,Extremely High Point
1997/11/20,11.0,-1.0,High Point
1997/11/21,11.04,-1.36,High Point
1997/11/22,10.95,-2.1,High Point
1997/11/24,11.02,-2.99,Extremely High Point
1997/11/25,10.88,-0.83,Little High Point
1997/11/26,10.75,0.74,Little High Point
1997/11/27,10.69,1.87,Little Low Point
1997/11/28,10.8,0.46,Little High Point
1997/11/29,10.74,0.74,Little High Point
1997/12/01,10.76,0.74,Little Low Point
1997/12/02,10.89,-0.83,Little High Point
1997/12/03,10.89,-0.18,Little High Point
1997/12/04,10.72,0.93,Little Low Point
1997/12/05,10.69,1.31,Little Low Point
1997/12/06,10.79,0.19,Little High Point
1997/12/08,10.83,-0.28,Little High Point
1997/12/09,10.89,-1.84,High Point
1997/12/10,10.85,-0.83,Little High Point
1997/12/11,10.82,-2.68,High Point
1997/12/12,10.84,-3.41,Extremely High Point
1997/12/13,10.8,-1.94,High Point
1997/12/15,10.87,-2.94,Extremely High Point
1997/12/16,10.82,-2.4,High Point
1997/12/17,10.83,-1.66,High Point
1997/12/18,10.81,-0.28,Little High Point
1997/12/19,10.8,1.3,Little Low Point
1997/12/20,10.69,3.65,Extremely Low Point
1997/12/22,10.76,5.2,Extremely Low Point
1997/12/23,10.53,8.07,Extremely Low Point
1997/12/24,10.47,7.74,Extremely Low Point
1997/12/26,10.59,5.19,Extremely Low Point
1997/12/27,10.55,5.21,Extremely Low Point
1997/12/29,10.56,3.69,Extremely Low Point
1997/12/30,10.65,4.04,Extremely Low Point
1997/12/31,10.78,4.27,Extremely Low Point
1998/01/03,10.94,2.1,Low Point
1998/01/05,11.08,2.26,Low Point
1998/01/06,11.32,-0.53,Little High Point
1998/01/07,11.38,-0.26,Little High Point
1998/01/08,11.28,1.15,Little Low Point
1998/01/09,11.14,3.59,Extremely Low Point
1998/01/12,11.1,4.41,Extremely Low Point
1998/01/13,10.95,5.84,Extremely Low Point
1998/01/14,11.08,4.15,Extremely Low Point
1998/01/15,11.24,3.83,Extremely Low Point
1998/01/16,11.17,4.57,Extremely Low Point
1998/01/17,11.33,3.27,Low Point
1998/01/19,11.26,4.0,Extremely Low Point
1998/01/20,11.35,2.03,Low Point
1998/01/21,11.41,2.98,Low Point
1998/01/22,11.54,1.13,Little Low Point
1998/01/23,11.59,0.52,Little Low Point
1998/01/26,11.59,2.16,Low Point
1998/02/02,11.54,-4.42,High Point
1998/02/03,11.67,-5.06,High Point
1998/02/04,11.68,-5.57,High Point
1998/02/05,11.7,-5.13,High Point
1998/02/06,11.71,-5.29,High Point
1998/02/07,11.58,-3.71,High Point
1998/02/09,11.75,-4.77,High Point
1998/02/10,11.67,-4.03,High Point
1998/02/11,11.65,-4.64,High Point
1998/02/12,11.84,-6.76,High Point
1998/02/13,11.03,-0.18,Little Low Point
1998/02/16,11.08,0.0,Little Low Point
1998/02/17,11.03,0.36,Little Low Point
1998/02/18,11.1,-0.27,Little High Point
1998/02/19,11.09,-0.27,Little High Point
1998/02/20,11.15,-0.63,Little High Point
1998/02/21,11.19,-2.95,Little High Point
1998/02/23,11.2,-2.23,Little High Point
1998/02/24,11.11,-1.17,Little High Point
1998/02/25,11.04,-1.09,Little High Point
1998/02/26,11.01,0.36,Little Low Point
1998/02/27,11.08,-0.18,Little Low Point
1998/03/02,11.07,0.27,Little High Point
1998/03/03,11.07,1.36,Little Low Point
1998/03/04,11.06,2.35,Low Point
1998/03/05,11.08,3.34,Low Point
1998/03/06,10.86,5.52,Extremely Low Point
1998/03/07,10.95,5.02,Extremely Low Point
1998/03/09,10.98,4.37,Extremely Low Point
